IP地址,数据中心,地区,城市,网络延迟
[2606:4700:5c:ea5e:7867:1656:de49:860e],SJC,北美洲,圣何塞,131 ms
[2606:4700:57:c389:734e:4011:fff:3ab0],SJC,北美洲,圣何塞,132 ms
[2a06:98c1:310d:7c9a:c81b:52a3:19e9:ad5a],SJC,北美洲,圣何塞,133 ms
[2a06:98c1:50:b746:acd7:eae7:c3b5:df30],SJC,北美洲,圣何塞,133 ms
[2606:4700:a9:6560:1582:4cb1:4b8a:3ee3],SJC,北美洲,圣何塞,134 ms
[2606:4700:59:34d1:80af:cad8:4fee:fdac],SJC,北美洲,圣何塞,134 ms
[2a06:98c1:3109:9554:f2d9:9043:973e:9494],SJC,北美洲,圣何塞,135 ms
[2a06:98c1:310a:825f:4e92:1437:e0ca:bbcb],SJC,北美洲,圣何塞,136 ms
[2a06:98c1:3103:1f6e:ebe9:b6e1:4e7e:2da7],SJC,北美洲,圣何塞,138 ms
[2a06:98c1:3123:feb8:3cb8:3a40:125:e9f0],AMS,欧洲,阿姆斯特丹,161 ms
[2606:4700:a0:b9a5:eea8:e1c8:4853:8120],LAX,北美洲,洛杉矶,164 ms
[2803:f800:52:1b97:7af5:6d2b:e4da:ddf9],LAX,北美洲,洛杉矶,165 ms
[2a06:98c1:3121:442:7eb9:fd29:2904:c28],AMS,欧洲,阿姆斯特丹,192 ms
[2606:4700:13:99a0:6221:ba48:b82:e55f],FRA,欧洲,法兰克福,193 ms
[2606:4700:3020:8343:c4cf:2532:6838:11a],FRA,欧洲,法兰克福,194 ms
[2606:4700:3018:767f:1a63:5677:d45a:6570],FRA,欧洲,法兰克福,195 ms
[2606:4700:4400:87e9:19f2:fa79:85:6ae0],LAX,北美洲,洛杉矶,198 ms
[2606:4700:11:40ef:62c2:5f5a:6be8:b020],FRA,欧洲,法兰克福,200 ms
[2606:4700:3021:4373:8636:8154:7559:e573],FRA,欧洲,法兰克福,200 ms
[2a06:98c1:3122:6b08:db7b:4dd2:b1bb:8430],AMS,欧洲,阿姆斯特丹,203 ms
[2606:4700:f4:430:8d2b:2389:614e:957c],FRA,欧洲,法兰克福,203 ms
[2606:4700:3017:c6b7:4d93:5c03:20f8:8de1],FRA,欧洲,法兰克福,205 ms
[2a06:98c1:3120:93e:67fa:8b3c:94a9:dc41],AMS,欧洲,阿姆斯特丹,206 ms
[2606:4700:13a:1db5:390d:1ae:9e49:22e5],PDX,北美洲,波特兰,210 ms
[2606:4700:8d7c:fe97:8a09:ff66:a0d5:836e],SIN,亚太地区,新加坡,218 ms
[2606:4700:976d:cb8d:e145:e0bb:28ae:1eb3],SIN,亚太地区,新加坡,219 ms
[2606:4700:8dd0:b0af:bd35:9820:bbf9:ae8a],SIN,亚太地区,新加坡,219 ms
[2606:4700:90ce:2660:e9c8:9ca8:81c6:e2f4],SIN,亚太地区,新加坡,220 ms
[2606:4700:85da:dd0:7a3:19d4:6f41:a067],SIN,亚太地区,新加坡,220 ms
[2606:4700:9b0c:5dea:6850:b93f:7ccb:21dc],SIN,亚太地区,新加坡,220 ms
[2606:4700:136:27b0:69d:4cce:6393:6b08],PDX,北美洲,波特兰,243 ms
[2606:4700:135:4e7f:bf42:cb8a:74f7:8f1d],PDX,北美洲,波特兰,257 ms
[2606:4700:83b4:421f:36bf:48db:ad8f:c7d2],MAA,亚太地区,金奈,365 ms
[2606:4700:83b1:f93:4d80:7284:3d2d:170],MAA,亚太地区,金奈,366 ms
